gcc-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04
gcc-14-base	14.2.0-4ubuntu2~24.04
gcc-multilib	4:13.2.0-7ubuntu1
gcc-x86-64-linux-gnu	4:13.2.0-7ubuntu1
gcr	3.41.2-1build3
gcr4	4.2.0-5
gdal-data	3.8.4+dfsg-3ubuntu3
gdal-plugins	3.8.4+dfsg-3ubuntu3
gdb	15.0.50.20240403-0ubuntu1
gdisk	1.0.10-1build1
gdm3	46.2-1ubuntu1~24.04.4
geoclue-2.0	2.7.0-3ubuntu7
geocode-glib-common	3.26.3-6build3
gettext-base	0.21-14ubuntu2
ghostscript	10.02.1~dfsg1-0ubuntu7.8
gir1.2-accountsservice-1.0	23.13.9-2ubuntu6
gir1.2-adw-1	1.5.0-1ubuntu2
gir1.2-atk-1.0	2.52.0-1build1
gir1.2-atspi-2.0	2.52.0-1build1
gir1.2-ayatanaappindicator3-0.1	0.5.93-1build3
gir1.2-freedesktop	1.80.1-1
gir1.2-freedesktop-dev	1.80.1-1
gir1.2-gck-2	4.2.0-5
gir1.2-gcr-4	4.2.0-5
gir1.2-gdesktopenums-3.0	46.1-0ubuntu1
gir1.2-gdkpixbuf-2.0	2.42.10+dfsg-3ubuntu3.2
gir1.2-gdm-1.0	46.2-1ubuntu1~24.04.4
gir1.2-geoclue-2.0	2.7.0-3ubuntu7
gir1.2-girepository-2.0	1.80.1-1
gir1.2-glib-2.0	2.80.0-6ubuntu3.4
gir1.2-glib-2.0-dev	2.80.0-6ubuntu3.4
gir1.2-gmenu-3.0	3.36.0-1.1ubuntu3
gir1.2-gnomeautoar-0.1	0.4.4-2build4
gir1.2-gnomebg-4.0	44.0-5build2
gir1.2-gnomebluetooth-3.0	46.0-1ubuntu1
gir1.2-gnomedesktop-3.0	44.0-5build2
gir1.2-gnomedesktop-4.0	44.0-5build2
gir1.2-graphene-1.0	1.10.8-3build2
gir1.2-gstreamer-1.0	1.24.2-1ubuntu0.1
gir1.2-gtk-3.0	3.24.41-4ubuntu1.3
gir1.2-gtk-4.0	4.14.5+ds-0ubuntu0.6
gir1.2-gudev-1.0	1:238-5ubuntu1
